순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR_1,WPA,포지션,BB/9
150,김진성,NC,0.04,42,0,0,0,1,2,0,5,42,25,20,178,39,10,1,6,15,1,2,35,1,6,4.29,4.74,1.29,98.3,89.3,0.04,-0.31,우중,3.21 
151,정찬헌,LG,0.04,13,0,0,0,1,1,6,0,10,5,2,46,11,4,0,0,6,0,0,11,0,0,1.8,3,1.7,228.1,138.1,0.04,-0.3,우마,5.40 
152,임규빈,키움,0.03,1,0,0,0,0,0,0,0,1,0,0,4,1,1,0,0,0,0,0,2,0,0,0,-0.6,1,,-686.3,0.03,0,우중,0.00 
153,전사민,NC,0.03,1,0,0,0,0,0,0,0,1,0,0,5,2,0,0,0,0,0,0,1,0,0,0,1.4,2,,302.3,0.03,0,우중,0.00 
154,송창현,한화,0.03,3,0,0,2,0,1,0,0,12.2,9,9,57,15,1,0,4,4,0,0,5,0,0,6.39,7.67,1.5,64.8,54,0.03,-0.26,좌선,2.95 
155,장현식,NC,0.02,53,0,0,0,5,4,0,9,54.2,31,28,246,58,7,1,9,23,0,4,49,0,6,4.61,5.23,1.48,91.4,81,0.02,-0.48,우중,3.82 
156,김주한,SK,0.02,11,0,0,1,1,1,0,1,12,7,7,56,12,4,1,0,7,1,2,10,0,2,5.25,3.74,1.58,81.1,112.6,0.02,-0.41,우선,5.25 
157,임지섭,LG,0.01,8,0,0,0,0,0,0,0,6.2,4,2,33,5,0,0,0,8,0,1,9,0,0,2.7,4.75,1.95,152,86.7,0.01,-0.46,좌중,11.61 
158,이상규,LG,0.01,1,0,0,0,0,0,0,0,0.1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,21.4,3,,19.1,0.01,0,우중,90.00 
159,황인준,KIA,0.01,5,0,0,2,0,0,0,0,11.1,8,8,53,14,5,1,2,5,1,0,11,0,2,6.35,4.82,1.68,66,86.7,0.01,-0.3,우선,4.05 
160,윤지웅,NC,0.01,13,0,0,0,1,0,0,0,12.2,8,7,55,14,2,0,3,4,0,1,9,0,1,4.97,6.25,1.42,84.7,67.8,0.01,-0.24,좌중,2.95 
161,이선우,kt,0,3,0,0,0,0,0,0,0,1.2,1,1,7,1,0,0,1,1,0,0,2,0,0,5.4,10.6,1.2,76.6,38,0,-0.01,우중,7.50 
162,헤일리,삼성,0,19,0,0,19,5,8,0,0,87.2,59,56,386,95,12,2,5,34,0,6,84,1,5,5.75,3.6,1.47,75.5,118.1,0,-1.03,우선,3.51 
163,유원석,LG,0,2,0,0,0,0,0,0,0,3.1,2,2,17,2,0,0,1,5,0,0,4,0,0,5.4,9.4,2.1,76,42.6,0,0.04,우중,14.52 
164,배민서,NC,0,4,0,0,0,0,0,0,0,3.1,2,2,17,7,1,0,0,0,0,1,1,0,0,5.4,3.7,2.1,78,113.3,0,-0.03,우중,0.00 
165,최대성,두산,0,1,0,0,0,0,0,0,0,0,3,2,3,0,0,0,0,2,0,0,0,0,0,,,,,,0,0,우중,#DIV/0!
,박신지,두산,0,2,0,0,0,0,0,0,0,0,2,2,3,1,0,0,0,2,0,0,0,0,0,,,,,,0,-0.01,우중,#DIV/0!
167,강동연,두산,0,5,0,0,0,0,0,0,0,5,3,3,22,8,2,0,2,0,0,0,3,0,0,5.4,7.4,1.6,76,52.9,0,-0.15,우중,0.00 
168,안우진,키움,-0.01,19,0,0,15,7,5,0,0,88.1,56,51,395,97,19,1,8,36,0,3,80,1,3,5.2,4.09,1.51,79.6,100.3,-0.01,-1.19,우선,3.68 
169,이현호,두산,-0.01,16,0,0,8,1,0,0,0,40.1,25,23,191,51,8,1,2,19,0,1,22,1,2,5.13,4.44,1.74,80,92.3,-0.01,-0.51,좌선,4.26 
170,김정우,SK,-0.01,1,0,0,0,0,0,0,0,1,1,1,6,2,0,0,0,1,0,0,0,0,0,9,6.4,3,47.3,65.2,-0.01,0,우중,9.00 
171,황영국,한화,-0.02,6,0,0,0,0,0,0,0,4,3,3,20,8,0,0,2,1,0,0,6,0,0,6.75,7.65,2.25,61.4,53.4,-0.02,-0.12,좌중,2.25 
172,최건,kt,-0.02,1,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,2,0,0,0,0,0,0,9.4,2,,44.1,-0.02,-0.03,우중,18.00 
